listing_id,listing_title,price,vehicle_model_year,vehicle_condition,vehicle_tax_type,vehicle_brand,vehicle_model,vehicle_mileage_km,vehicle_fuel_type,vehicle_transmission,vehicle_engine_cc,vehicle_color,province,district,seller_type,view_count,posted_at,scraped_at,is_premium,listing_url
13825904,🖤Alphard015 ឡើង LM350 full hybrid អូតូ3 ឡានថ្មីសាហាវ,30800.0,2015,បានប្រើ,ផ្លាកលេខ,Toyota,Alphard,,ហាយប្រីត/Hybrid,ស្វ័យប្រវត្តិ,,ពណ៍ខ្មៅ,Phnom Penh,Dangkao,store,0,2026-07-29T12:00:39+00:00,2026-08-17T01:37:43.749697+00:00,,https://www.khmer24.com/post-adid-13825904
13713954,Prius 010 option4 ម្ចាស់ដើមទី1,15200.0,2010,បានប្រើ,ផ្លាកលេខ,Toyota,Prius,,ហាយប្រីត/Hybrid,ស្វ័យប្រវត្តិ,,ពណ៌ស,Phnom Penh,Preaek Pnov,individual,0,2026-06-30T11:36:35+00:00,2026-08-13T09:41:55.369949+00:00,,https://www.khmer24.com/post-adid-13713954
13781846,លក់ប្រញាប់លុយ,22900.0,2019,បានប្រើ,ផ្លាកលេខ,Nissan,Navara,,ម៉ាស៊ូត,ស្វ័យប្រវត្តិ,,ពណ៍ខ្មៅ,Phnom Penh,Saensokh,store,0,2026-07-18T01:19:18+00:00,2026-08-16T15:21:21.427249+00:00,,https://www.khmer24.com/post-adid-13781846
13346876,Neta Aya,14000.0,2024,ថ្មី,ក្រដាសពន្ធ,ផ្សេងៗ,,,អគ្គិសនី,ស្វ័យប្រវត្តិ,,ពណ៌ខៀវ,Phnom Penh,Tuol Kouk,store,0,2026-03-28T10:52:23+00:00,2026-08-13T09:41:57.120865+00:00,,https://www.khmer24.com/post-adid-13346876
13710068,FORD RANGE RAPTOR 2025 V6សាំង,68000.0,2025,បានប្រើ,ផ្លាកលេខ,Ford,Ranger Raptor,,សាំង,ស្វ័យប្រវត្តិ,,ពណ៌ប្រផេះ,Phnom Penh,Tuol Kouk,store,0,2026-06-29T12:47:52+00:00,2026-08-13T09:41:49.187841+00:00,,https://www.khmer24.com/post-adid-13710068
13342873,2015 Mercedes-Maybach S400 Luxury Sedan,90000.0,2015,បានប្រើ,ផ្លាកលេខ,Mercedes-Benz,Maybach,,សាំង,ស្វ័យប្រវត្តិ,,ពណ៍ខ្មៅ,Phnom Penh,Tuol Kouk,store,0,2026-03-27T08:24:47+00:00,2026-08-13T09:41:48.276472+00:00,,https://www.khmer24.com/post-adid-13342873
13838999,ព្រុសឆ្នាំ05ពាក់កណ្ដាលហ្វូល,8000.0,2005,បានប្រើ,ផ្លាកលេខ,Toyota,Prius,,ហាយប្រីត/Hybrid,ស្វ័យប្រវត្តិ,,ពណ៌ខៀវ,Phnom Penh,Saensokh,individual,0,2026-08-02T05:15:38+00:00,2026-08-13T09:41:53.655644+00:00,,https://www.khmer24.com/post-adid-13838999
13856094,Toyota Prius,7000.0,2004,បានប្រើ,ផ្លាកលេខ,Toyota,Prius,,ហាយប្រីត/Hybrid,ស្វ័យប្រវត្តិ,,ពណ៌មាស,Phnom Penh,Mean Chey,store,0,2026-08-06T08:10:30+00:00,2026-08-13T09:41:42.809919+00:00,,https://www.khmer24.com/post-adid-13856094
13894370,🔥SsangYongRexton Sports2018 ម៉ាស៊ូតប៉ុង2អូតូកាពីតាស់តម្លៃសាងលក់បន្ត💰16000$💸,16000.0,2018,បានប្រើ,ផ្លាកលេខ,SsangYong,Rexton,,ម៉ាស៊ូត,ស្វ័យប្រវត្តិ,,ពណ៌ប្រផេះ,Phnom Penh,Por Senchey,store,0,2026-08-16T15:14:01+00:00,2026-08-16T15:21:11.270496+00:00,,https://www.khmer24.com/post-adid-13894370
13433054,Prius 2012 6000$ Full Advanced Plug in option5,18500.0,2012,បានប្រើ,ក្រដាសពន្ធ,Toyota,Prius,,ហាយប្រីត/Hybrid,ស្វ័យប្រវត្តិ,,ពណ៌ប្រផេះ,Phnom Penh,Por Senchey,store,0,2026-04-23T09:02:58+00:00,2026-08-13T09:41:50.972398+00:00,,https://www.khmer24.com/post-adid-13433054
13811818,BMW,39800.0,2024,បានប្រើ,ក្រដាសពន្ធ,BMW,ផ្សេងៗ,,អគ្គិសនី,,,ផ្សេងៗ,Phnom Penh,Saensokh,store,0,2026-07-26T02:51:18+00:00,2026-08-17T01:37:46.622653+00:00,,https://www.khmer24.com/post-adid-13811818
13687261,💥លក់CR-V ឆ្នាំ99 បង់រំលោះបាន👍,4300.0,1999,បានប្រើ,ផ្លាកលេខ,Honda,CR-V,,សាំង,ស្វ័យប្រវត្តិ,,ពណ៍ខ្មៅ,Siem Reap,Siem Reap,store,0,2026-06-24T03:36:22+00:00,2026-08-16T15:21:21.427249+00:00,,https://www.khmer24.com/post-adid-13687261
13666852,📌AION i60 2026 full option REEV  ថែមជូនទាំងអស់,25800.0,2026,ថ្មី,ក្រដាសពន្ធ,AION,Aion i60,,ហាយប្រីត/Hybrid,ស្វ័យប្រវត្តិ,,ពណ៍ខ្មៅ,Phnom Penh,Saensokh,store,0,2026-06-19T03:11:53+00:00,2026-08-16T15:21:18.895298+00:00,,https://www.khmer24.com/post-adid-13666852
13813055,Tacoma ឆ្នាំ07 ABS វ៉ូលីមចង្កូត ដុយដាំបាយ បាសJBL ទ្រុងវែង,16500.0,2007,បានប្រើ,ផ្លាកលេខ,Toyota,Tacoma,,សាំង,ស្វ័យប្រវត្តិ,,ពណ៌ប្រាក់,Phnom Penh,Ruessei Kaev,store,0,2026-07-26T07:49:41+00:00,2026-08-16T15:21:14.668556+00:00,,https://www.khmer24.com/post-adid-13813055
13890996,ឡានស្អាតម្ចាស់ដើមទី1,16800.0,2010,បានប្រើ,ផ្លាកលេខ,Toyota,Alphard,,ម៉ាស៊ូត,ស្វ័យប្រវត្តិ,,ពណ៌ស,Preah Sihanouk,Krong Preah Sihanouk,individual,0,2026-08-15T14:42:43+00:00,2026-08-17T01:37:41.797536+00:00,,https://www.khmer24.com/post-adid-13890996
13894169,ឡានលក់ PRIUS 08 full រៀបចំរួចហើយ ធានាឡានថ្មី ឡានកាលី មិនបុកមិនប៉ះ ទឹកថ្នាំហ្សិនមួយជុំ,9900.0,2008,បានប្រើ,ផ្លាកលេខ,Toyota,Prius,,សាំង,ស្វ័យប្រវត្តិ,,ពណ៌មាស,Phnom Penh,Dangkao,store,0,2026-08-16T13:43:20+00:00,2026-08-16T15:21:17.195538+00:00,,https://www.khmer24.com/post-adid-13894169
13845551,ឡានលក់ 013 options 4,19900.0,2013,បានប្រើ,ក្រដាសពន្ធ,Toyota,Prius,,ហាយប្រីត/Hybrid,ស្វ័យប្រវត្តិ,,ពណ៌ស,Phnom Penh,Tuol Kouk,store,0,2026-08-04T01:15:06+00:00,2026-08-17T01:37:47.605170+00:00,,https://www.khmer24.com/post-adid-13845551
